gender,city,work_type,company_size,position,level,experience,currency,raise_period,salary
0,1,3,3,Frontend Developer / Engineer,2,3,0,2,44.704 TL - 54.951 TL
1,1,1,1,Backend Developer / Engineer,2,2,0,2,26.803 TL - 29.801 TL
1,1,3,2,Backend Developer / Engineer,3,3,0,1,67.203 TL - 82.652 TL
1,0,3,2,Frontend Developer / Engineer,1,2,0,2,37.253 TL - 44.703 TL
1,0,3,1,Fullstack Developer / Engineer,2,3,0,2,82.653 TL - 105.102 TL
1,1,3,3,Research Engineer,3,4,0,2,54.952 TL - 67.202 TL
1,1,2,1,Fullstack Developer / Engineer,1,2,0,2,29.802 TL - 37.252 TL
1,1,1,1,Team Lead,3,5,0,2,44.704 TL - 54.951 TL
1,0,1,3,Diğer,2,3,0,2,26.803 TL - 29.801 TL
1,0,2,1,Backend Developer / Engineer,3,6,0,1,150.003 TL - 195.002 TL
0,1,2,1,Team Lead,2,2,0,2,29.802 TL - 37.252 TL
1,0,2,1,Backend Developer / Engineer,3,5,0,2,150.003 TL - 195.002 TL
1,1,2,4,Android Developer,2,2,0,1,44.704 TL - 54.951 TL
1,1,2,3,Business Development Specialist,3,4,0,2,54.952 TL - 67.202 TL
1,0,1,2,Backend Developer / Engineer,2,2,0,1,67.203 TL - 82.652 TL
1,0,1,4,Backend Developer / Engineer,2,3,0,2,67.203 TL - 82.652 TL
1,1,3,1,Frontend Developer / Engineer,1,2,0,1,54.952 TL - 67.202 TL
1,1,3,3,Business Analyst,3,3,0,1,82.653 TL - 105.102 TL
1,1,2,3,Backend Developer / Engineer,2,2,0,2,37.253 TL - 44.703 TL
1,1,2,1,Mobile Developer(Cross Platform),1,1,0,3,17.002 TL - 22.451 TL
1,0,3,1,Frontend Developer / Engineer,1,1,0,1,29.802 TL - 37.252 TL
1,1,3,1,Fullstack Developer / Engineer,1,2,0,1,17.002 TL - 22.451 TL
0,1,2,1,Software Engineer,3,8,0,2,54.952 TL - 67.202 TL
1,0,3,2,Mobile Developer(Cross Platform),2,3,0,1,82.653 TL - 105.102 TL
1,1,3,3,Fullstack Developer / Engineer,3,8,0,1,82.653 TL - 105.102 TL
0,1,1,1,Backend Developer / Engineer,1,2,0,4 veya üzeri,17.002 TL - 22.451 TL
1,0,1,1,Diğer,1,3,0,1,17.002 TL - 22.451 TL
1,1,2,1,Fullstack Developer / Engineer,3,4,0,2,82.653 TL - 105.102 TL
0,1,3,2,UI/UX Designer,2,2,0,2,44.704 TL - 54.951 TL
1,1,3,3,Backend Developer / Engineer,2,4,0,2,67.203 TL - 82.652 TL
1,1,2,2,Frontend Developer / Engineer,3,4,0,2,82.653 TL - 105.102 TL
1,1,3,3,Backend Developer / Engineer,2,3,0,1,44.704 TL - 54.951 TL
1,1,2,3,Fullstack Developer / Engineer,1,2,0,2,105.103 TL - 127.552 TL
1,0,3,1,Backend Developer / Engineer,2,3,0,2,82.653 TL - 105.102 TL
1,1,2,1,Software Engineer,3,6,0,1,67.203 TL - 82.652 TL
1,1,2,2,Backend Developer / Engineer,3,8,0,2,127.553 TL - 150.002 TL
1,1,3,2,Backup Engineer,Staff,5,0,2,82.653 TL - 105.102 TL
1,0,2,1,Frontend Developer / Engineer,1,1,0,2,29.802 TL - 37.252 TL
1,1,3,2,Backend Developer / Engineer,2,2,0,2,29.802 TL - 37.252 TL
1,1,3,2,Software Engineer,3,4,0,2,82.653 TL - 105.102 TL
1,1,3,1,Android Developer,2,3,0,2,44.704 TL - 54.951 TL
2,1,2,3,Android Developer,2,3,0,2,67.203 TL - 82.652 TL
1,1,3,4,Backend Developer / Engineer,2,2,0,2,54.952 TL - 67.202 TL
1,1,3,1,Fullstack Developer / Engineer,3,8,0,1,82.653 TL - 105.102 TL
1,1,3,4,Q/A - Test Automation Engineer,2,3,0,2,82.653 TL - 105.102 TL
1,1,2,2,Database Administrator,3,3,0,2,44.704 TL - 54.951 TL
1,0,2,1,Q/A - Test Automation Engineer,2,3,0,2,54.952 TL - 67.202 TL
1,0,2,1,Frontend Developer / Engineer,1,1,0,2,22.452 TL - 26.802 TL
1,1,2,3,Data Analyst,Staff,8,0,2,195.003 TL - 239.002 TL
1,0,2,2,Software Engineer,2,4,0,1,150.003 TL - 195.002 TL
1,0,1,1,Frontend Developer / Engineer,1,1,0,2,29.802 TL - 37.252 TL
1,1,2,4,Fullstack Developer / Engineer,2,4,0,2,82.653 TL - 105.102 TL
1,1,3,2,Mobile Developer(Cross Platform),1,2,0,2,22.452 TL - 26.802 TL
1,1,3,3,Database Administrator,3,8,0,1,82.653 TL - 105.102 TL
1,0,3,2,Software Engineer,3,8,0,2,298.753 TL - 373.502 TL
1,1,1,1,Mobile Developer(Cross Platform),3,3,0,1,44.704 TL - 54.951 TL
1,1,3,1,iOS Developer,2,2,0,2,37.253 TL - 44.703 TL
1,1,3,1,DevOps,2,3,0,2,82.653 TL - 105.102 TL
1,0,3,1,SAP Consultant,1,2,0,2,37.253 TL - 44.703 TL
1,1,3,1,DevOps,1,2,0,2,17.002 TL - 22.451 TL
1,1,3,1,Mobile Developer(Cross Platform),2,2,0,2,37.253 TL - 44.703 TL
1,0,3,4,Cloud Architect,2,8,0,1,150.003 TL - 195.002 TL
1,1,2,4,Q/A - Test Automation Engineer,2,2,0,1,37.253 TL - 44.703 TL
1,1,2,1,Software Engineer,3,4,0,1,82.653 TL - 105.102 TL
1,1,2,2,Frontend Developer / Engineer,1,2,0,1,22.452 TL - 26.802 TL
