Cinsiyet,Şirketiniz hangi şehirde? (Eğer Türkiye ise),Çalışma şekliniz nedir?,Şirketinizin çalışan sayısı nedir?,Hangi pozisyonda çalışıyorsunuz?,Çalıştığınız şirketteki unvanınız nedir?,Deneyim,Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?,Kazancınız hangi para biriminde?,Senede kaç kez zam alıyorsunuz?,"Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
Erkek,34 İstanbul,Remote,151-300,DevOps,Junior,0-1 Yıl,"C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Kubernetes
Linux",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,,Remote,1.000-5.000,Backend Developer / Engineer,Mid,3-5 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
No-code / Low-code Araçları
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,,Hybrid,21-50,AI - ML Developer / Engineer,Yeni mezun,0-1 Yıl,"C, C++
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python
SQL",Dolar,1,195.003 TL - 239.002 TL
Erkek,06 Ankara,Ofiste,21-50,Tech Lead,Staff,12 Yıl ve üzeri,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Linux
Python",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,301-600,Frontend Developer / Engineer,Senior,5-7 Yıl,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Backend Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,06 Ankara,Hybrid,1.000-5.000,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Kubernetes",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,301-600,Backend Developer / Engineer,Mid,5-7 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,301-600,Backend Developer / Engineer,Mid,5-7 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,07 Antalya,Hybrid,11-20,Frontend Developer / Engineer,Junior,1-3 Yıl,"ChatGPT
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Ofiste,11-20,Team Lead,Staff,9-12 Yıl,"Adobe CC araçları
ChatGPT
Figma / XD ve diğer tasarım araçları",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Ofiste,1.000-5.000,IT Specialist,Mid,7-9 Yıl,,Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,11-20,Embedded Developer / Engineer,Senior,3-5 Yıl,"C, C++",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,21-50,Diğer,Junior,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,51-150,Data Engineer,Junior,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
SQL",Türk Lirası,3,26.803 TL - 29.801 TL
Erkek,48 Muğla,Ofiste,5.000-10.000,Fullstack Developer / Engineer,Senior,7-9 Yıl,"C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Kadın,06 Ankara,Ofiste,11-20,Fullstack Developer / Engineer,Junior,0-1 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Linux",Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,11-20,Q/A - Test Automation Engineer,Yeni mezun,0-1 Yıl,"ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
No-code / Low-code Araçları",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,06 Ankara,Ofiste,151-300,Backend Developer / Engineer,Junior,1-3 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Senior,5-7 Yıl,"ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
PHP
Python",Türk Lirası,3,54.952 TL - 67.202 TL
Erkek,,Remote,21-50,CRM Developer,Mid,1-3 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Microsoft Office Araçları
SQL",Dolar,1,67.203 TL - 82.652 TL
Erkek,35 İzmir,Ofiste,11-20,Mobile Developer(Cross Platform),Junior,1-3 Yıl,"Flutter
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Swift",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Hybrid,21-50,Frontend Developer / Engineer,Mid,7-9 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,35 İzmir,Hybrid,11-20,Frontend Developer / Engineer,Mid,1-3 Yıl,"ChatGPT
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Android Developer,Junior,1-3 Yıl,"Java ve bağlı framework'ler
Kotlin",Türk Lirası,2,29.802 TL - 37.252 TL
Kadın,06 Ankara,Hybrid,21-50,Embedded Developer / Engineer,Mid,3-5 Yıl,"C, C++
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Python",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,301-600,Android Developer,Senior,9-12 Yıl,"Java ve bağlı framework'ler
Kotlin",Türk Lirası,4 veya üzeri,105.103 TL - 127.552 TL
Erkek,06 Ankara,Remote,1-10,iOS Developer,Junior,0-1 Yıl,Swift,Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,35 İzmir,Hybrid,11-20,Fullstack Developer / Engineer,Junior,0-1 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,06 Ankara,Remote,21-50,Frontend Developer / Engineer,Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,37.253 TL - 44.703 TL
Kadın,34 İstanbul,Hybrid,301-600,Business Analyst,Junior,0-1 Yıl,SQL,Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,,Hybrid,10.000 ve üzeri,Frontend Developer / Engineer,Senior,5-7 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,1-10,Diğer,Staff,9-12 Yıl,C# / .NET Framework,Türk Lirası,1,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Remote,51-150,Backend Developer / Engineer,Mid,1-3 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,35 İzmir,Hybrid,51-150,Backend Developer / Engineer,Junior,1-3 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,301-600,DevOps,Junior,0-1 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,06 Ankara,Hybrid,301-600,Integration Developer,Junior,0-1 Yıl,No-code / Low-code Araçları,Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,06 Ankara,Ofiste,151-300,Software Engineer,Mid,1-3 Yıl,"C, C++",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,06 Ankara,Remote,601-1.000,Frontend Developer / Engineer,Senior,5-7 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,51-150,iOS Developer,Senior,1-3 Yıl,"Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Swift",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,06 Ankara,Remote,51-150,Frontend Developer / Engineer,Senior,12 Yıl ve üzeri,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,1-10,Backend Developer / Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
NoSQL
Python
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Kadın,34 İstanbul,Ofiste,51-150,Project Manager,Mid,3-5 Yıl,Solidity,Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,,Remote,151-300,Backend Developer / Engineer,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Python",Sterlin,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,51-150,Software Engineer,Senior,5-7 Yıl,"Golang
Python",Euro,2,54.952 TL - 67.202 TL
Erkek,,Remote,11-20,SAP Consultant,Junior,1-3 Yıl,"ABAP
SAP
SQL",Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,06 Ankara,Ofiste,21-50,Software Engineer,Junior,1-3 Yıl,"C, C++
ChatGPT",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,06 Ankara,Hybrid,51-150,Frontend Developer / Engineer,Staff,5-7 Yıl,,Türk Lirası,2,150.003 TL - 195.002 TL
Erkek,,Remote,1.000-5.000,Backend Developer / Engineer,Senior,12 Yıl ve üzeri,"Java ve bağlı framework'ler
Python",Türk Lirası,2,105.103 TL - 127.552 TL
