Cinsiyet,Şirketiniz hangi şehirde? (Eğer Türkiye ise),Çalışma şekliniz nedir?,Şirketinizin çalışan sayısı nedir?,Hangi pozisyonda çalışıyorsunuz?,Çalıştığınız şirketteki unvanınız nedir?,Deneyim,Ağırlıklı olarak hangi teknolojileri / dilleri kullanıyorsunuz?,Kazancınız hangi para biriminde?,Senede kaç kez zam alıyorsunuz?,"Maaş / Aylık Türk Lirası cinsinden          (Ortalama ""NET"" ücret)"
Erkek,34 İstanbul,Remote,1-10,Diğer,Senior,5-7 Yıl,,Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Ofiste,21-50,Backend Developer / Engineer,Mid,1-3 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,26.803 TL - 29.801 TL
Erkek,34 İstanbul,Remote,151-300,Frontend Developer / Engineer,Senior,12 Yıl ve üzeri,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Dolar,1,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Embedded Developer / Engineer,Yeni mezun,1-3 Yıl,"C, C++
Linux",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,35 İzmir,Ofiste,10.000 ve üzeri,System Administrator,Mid,3-5 Yıl,Microsoft Office Araçları,Türk Lirası,3,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,151-300,BI Developer / Engineer,Senior,12 Yıl ve üzeri,"Microsoft Office Araçları
NoSQL
Python
SQL",Türk Lirası,2,105.103 TL - 127.552 TL
Kadın,34 İstanbul,Remote,5.000-10.000,Software Engineer,Mid,3-5 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,06 Ankara,Remote,301-600,Mobile Developer(Cross Platform),Mid,3-5 Yıl,Flutter,Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Frontend Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Cloud Engineer,Junior,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Kubernetes
Linux",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,51-150,Frontend Developer / Engineer,Mid,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Fullstack Developer / Engineer,Mid,3-5 Yıl,"ChatGPT
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Linux
NoSQL
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Team Lead,Staff,9-12 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SAP
SQL",Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,,Remote,10.000 ve üzeri,Software Engineer,Senior,7-9 Yıl,"C, C++
Microsoft Office Araçları
SQL",Dolar,,195.003 TL - 239.002 TL
Belirtmek İstemiyorum,34 İstanbul,Hybrid,10.000 ve üzeri,Fullstack Developer / Engineer,Senior,9-12 Yıl,"C# / .NET Framework
DevOps araçları
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,151-300,Cyber Security Engineer,Junior,1-3 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
Python
Rust
SQL",Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,06 Ankara,Hybrid,11-20,Fullstack Developer / Engineer,Yeni mezun,1-3 Yıl,"C# / .NET Framework
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,5.000-10.000,Product Owner,Senior,5-7 Yıl,"Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,54.952 TL - 67.202 TL
Belirtmek İstemiyorum,,Remote,1-10,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,"Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
NoSQL
Python",Dolar,1,82.653 TL - 105.102 TL
Erkek,,Hybrid,1.000-5.000,Backend Developer / Engineer,Senior,9-12 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Kubernetes
NoSQL",Euro,1,150.003 TL - 195.002 TL
Erkek,48 Muğla,Hybrid,1-10,Fullstack Developer / Engineer,Yeni mezun,0-1 Yıl,"Flutter
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,1,22.452 TL - 26.802 TL
Kadın,,Remote,5.000-10.000,IT Specialist,Mid,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,35 İzmir,Ofiste,51-150,Fullstack Developer / Engineer,Senior,7-9 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Hybrid,601-1.000,Q/A - Test Automation Engineer,Senior,7-9 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,301-600,Frontend Developer / Engineer,Senior,5-7 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,601-1.000,iOS Developer,Senior,7-9 Yıl,Swift,Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,301-600,Software Architect,Staff,9-12 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Remote,1.000-5.000,iOS Developer,Junior,1-3 Yıl,Swift,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,41 Kocaeli,Ofiste,10.000 ve üzeri,Software Development Manager,Senior,12 Yıl ve üzeri,SQL,Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,42 Konya,Ofiste,1-10,Fullstack Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,06 Ankara,Remote,11-20,Frontend Developer / Engineer,Mid,3-5 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,06 Ankara,Hybrid,51-150,Game Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
C, C++",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Hybrid,151-300,Product Owner,Junior,1-3 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
Microsoft Office Araçları
No-code / Low-code Araçları
Python",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,1.000-5.000,Software Development Manager,Senior,12 Yıl ve üzeri,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Golang
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Microsoft Office Araçları",Türk Lirası,2,150.003 TL - 195.002 TL
Erkek,06 Ankara,Ofiste,10.000 ve üzeri,Network Engineer,Mid,3-5 Yıl,C# / .NET Framework,Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Software Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SQL",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,10.000 ve üzeri,Android Developer,Mid,3-5 Yıl,Kotlin,Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,06 Ankara,Remote,301-600,Data Scientist,Yeni mezun,0-1 Yıl,"No-code / Low-code Araçları
Python
SQL",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,,Hybrid,301-600,Cyber Security Engineer,Senior,12 Yıl ve üzeri,"C, C++
Cloud araçları ( AWS, Azure, GCP vs)
Linux
Python
SQL",Euro,2,373.503 TL ve üzeri
Erkek,34 İstanbul,Ofiste,301-600,Application Security Engineer,Senior,5-7 Yıl,"C# / .NET Framework
C, C++
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Linux
Microsoft Office Araçları
No-code / Low-code Araçları
NoSQL
Python
Ruby
SAP
SQL
Swift",Türk Lirası,1,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Remote,11-20,Frontend Developer / Engineer,Mid,1-3 Yıl,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,21-50,Mobile Developer(Cross Platform),Junior,1-3 Yıl,Flutter,Türk Lirası,2,26.803 TL - 29.801 TL
Erkek,06 Ankara,Hybrid,151-300,Fullstack Developer / Engineer,Yeni mezun,0-1 Yıl,"ChatGPT
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
Python",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,41 Kocaeli,Ofiste,21-50,Android Developer,Junior,1-3 Yıl,"ChatGPT
Java ve bağlı framework'ler",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Software Engineer,Mid,7-9 Yıl,"C# / .NET Framework
SQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,11-20,Q/A - Test Automation Engineer,Junior,0-1 Yıl,"ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,301-600,Q/A - Test Automation Engineer,Mid,1-3 Yıl,"Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,44.704 TL - 54.951 TL
Kadın,34 İstanbul,Remote,601-1.000,Business Analyst,Yeni mezun,0-1 Yıl,"Microsoft Office Araçları
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,11-20,Research Engineer,Junior,1-3 Yıl,Python,Türk Lirası,1,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,1-10,Backend Developer / Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Kotlin",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,35 İzmir,Remote,21-50,DevOps,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
NoSQL
SQL",Dolar,1,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Ofiste,11-20,Mobile Developer(Cross Platform),Senior,1-3 Yıl,Flutter,Dolar,1,82.653 TL - 105.102 TL
Erkek,,Remote,601-1.000,Backend Developer / Engineer,Mid,3-5 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Kotlin
SQL",Dolar,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Remote,1.000-5.000,System Administrator,Mid,3-5 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Linux
Python",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,,Remote,1.000-5.000,Frontend Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,06 Ankara,Remote,1-10,Data Engineer,Junior,0-1 Yıl,Python,Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,,Remote,601-1.000,Software Engineer,Senior,12 Yıl ve üzeri,PHP,Dirhem,1,127.553 TL - 150.002 TL
Erkek,06 Ankara,Remote,151-300,Diğer,Junior,1-3 Yıl,"Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes
Linux
SQL",Dolar,2,37.253 TL - 44.703 TL
Erkek,35 İzmir,Hybrid,11-20,Fullstack Developer / Engineer,Junior,0-1 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,1,26.803 TL - 29.801 TL
Erkek,06 Ankara,Remote,21-50,Fullstack Developer / Engineer,Senior,3-5 Yıl,"Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,4 veya üzeri,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Hybrid,601-1.000,iOS Developer,Mid,3-5 Yıl,"Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Swift",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Software Engineer,Senior,5-7 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Golang
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,06 Ankara,Ofiste,21-50,Backend Developer / Engineer,Junior,1-3 Yıl,"C# / .NET Framework
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Diğer,Mid,1-3 Yıl,"Microsoft Office Araçları
SAP
Salesforce",Türk Lirası,3,44.704 TL - 54.951 TL
Erkek,,Remote,10.000 ve üzeri,Software Engineer,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Python",Dolar,1,150.003 TL - 195.002 TL
Erkek,34 İstanbul,Remote,51-150,Software Engineer,Mid,1-3 Yıl,"Adobe CC araçları
ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Linux
Microsoft Office Araçları
SQL",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,06 Ankara,Hybrid,51-150,Fullstack Developer / Engineer,Mid,1-3 Yıl,"C# / .NET Framework
DevOps araçları
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Linux
PHP
SAP
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Kadın,34 İstanbul,Hybrid,5.000-10.000,Frontend Developer / Engineer,Mid,1-3 Yıl,"Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,06 Ankara,Remote,151-300,Backend Developer / Engineer,Mid,7-9 Yıl,"Golang
PHP
SQL",Euro,1,105.103 TL - 127.552 TL
Belirtmek İstemiyorum,,Remote,301-600,Fullstack Developer / Engineer,Senior,3-5 Yıl,Java ve bağlı framework'ler,Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,UI/UX Designer,Junior,1-3 Yıl,"Adobe CC araçları
Figma / XD ve diğer tasarım araçları",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Frontend Developer / Engineer,Senior,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Docker / containerd / Hyper-V / LXC / Podman
Figma / XD ve diğer tasarım araçları
Javascript / Typescript ve bağlı framework'ler
Kubernetes
PHP",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,35 İzmir,Remote,601-1.000,Q/A - Test Automation Engineer,Senior,9-12 Yıl,"Javascript / Typescript ve bağlı framework'ler
Salesforce",Dolar,1,67.203 TL - 82.652 TL
Erkek,,Hybrid,10.000 ve üzeri,Software Engineer,Yeni mezun,0-1 Yıl,"C, C++
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
PHP
Python
SQL",Sterlin,1,239.003 TL - 298.752 TL
Erkek,,Hybrid,1.000-5.000,Software Engineer,Senior,3-5 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kubernetes",Euro,1,195.003 TL - 239.002 TL
Erkek,34 İstanbul,Hybrid,10.000 ve üzeri,Software Engineer,Junior,1-3 Yıl,"ChatGPT
Cloud araçları ( AWS, Azure, GCP vs)
Python",Türk Lirası,4 veya üzeri,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,11-20,Frontend Developer / Engineer,Junior,0-1 Yıl,"Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,1,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Ofiste,10.000 ve üzeri,DevOps,Mid,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
Linux",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Ofiste,51-150,Backend Developer / Engineer,Junior,1-3 Yıl,"ChatGPT
PHP",Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,11-20,Fullstack Developer / Engineer,Mid,3-5 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,06 Ankara,Hybrid,1-10,Project Manager,Senior,12 Yıl ve üzeri,"Adobe CC araçları
ChatGPT
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
PHP
SQL",Türk Lirası,2,22.452 TL - 26.802 TL
Erkek,,Remote,601-1.000,Frontend Developer / Engineer,Mid,3-5 Yıl,Javascript / Typescript ve bağlı framework'ler,Euro,1,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Hybrid,51-150,Software Engineer,Senior,7-9 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Kubernetes
Linux",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,34 İstanbul,Hybrid,151-300,Data Analyst,Mid,1-3 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Kotlin
Python
SQL
Swift",Türk Lirası,1,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,51-150,Fullstack Developer / Engineer,Senior,9-12 Yıl,"DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Linux
Python",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,35 İzmir,Hybrid,5.000-10.000,Embedded Developer / Engineer,Senior,9-12 Yıl,"C, C++",Euro,1,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,301-600,UI/UX Designer,Senior,7-9 Yıl,"Adobe CC araçları
Figma / XD ve diğer tasarım araçları",Türk Lirası,2,44.704 TL - 54.951 TL
Kadın,,Remote,1.000-5.000,Frontend Developer / Engineer,Junior,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,34 İstanbul,Remote,5.000-10.000,Mobile Developer(Cross Platform),Junior,1-3 Yıl,"Javascript / Typescript ve bağlı framework'ler
NoSQL",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,34 İstanbul,Remote,5.000-10.000,UI/UX Designer,Staff,12 Yıl ve üzeri,"Adobe CC araçları
Figma / XD ve diğer tasarım araçları",Türk Lirası,2,82.653 TL - 105.102 TL
Erkek,06 Ankara,Remote,21-50,Game Developer / Engineer,Senior,3-5 Yıl,C# / .NET Framework,Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Hybrid,51-150,Software Engineer,Junior,1-3 Yıl,"ChatGPT
Java ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları",Türk Lirası,4 veya üzeri,54.952 TL - 67.202 TL
Erkek,,Remote,21-50,Fullstack Developer / Engineer,Senior,12 Yıl ve üzeri,Javascript / Typescript ve bağlı framework'ler,Dolar,,373.503 TL ve üzeri
Erkek,34 İstanbul,Remote,1.000-5.000,Backend Developer / Engineer,Junior,3-5 Yıl,"C# / .NET Framework
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Golang
Java ve bağlı framework'ler
Kotlin
NoSQL
SQL",Türk Lirası,2,67.203 TL - 82.652 TL
Erkek,34 İstanbul,Remote,1.000-5.000,Backend Developer / Engineer,Senior,5-7 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
Flutter
Java ve bağlı framework'ler
SQL",Türk Lirası,2,105.103 TL - 127.552 TL
Kadın,27 Gaziantep,Ofiste,1-10,Fullstack Developer / Engineer,Mid,3-5 Yıl,"Adobe CC araçları
Cloud araçları ( AWS, Azure, GCP vs)
Javascript / Typescript ve bağlı framework'ler
Microsoft Office Araçları
PHP",Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,06 Ankara,Hybrid,21-50,Team Lead,Senior,5-7 Yıl,"Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
NoSQL",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,301-600,Android Developer,Mid,1-3 Yıl,"ChatGPT
Figma / XD ve diğer tasarım araçları
Kotlin",Türk Lirası,2,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Hybrid,151-300,Team Lead,Senior,9-12 Yıl,"C, C++
DevOps araçları
Docker / containerd / Hyper-V / LXC / Podman
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,127.553 TL - 150.002 TL
Erkek,34 İstanbul,Hybrid,151-300,Software Engineer,Mid,3-5 Yıl,"C# / .NET Framework
Docker / containerd / Hyper-V / LXC / Podman
Kubernetes
SQL",Türk Lirası,1,44.704 TL - 54.951 TL
Erkek,06 Ankara,Hybrid,301-600,Frontend Developer / Engineer,Yeni mezun,0-1 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,22.452 TL - 26.802 TL
Erkek,34 İstanbul,Remote,151-300,Android Developer,Senior,3-5 Yıl,Kotlin,Euro,2,105.103 TL - 127.552 TL
Kadın,16 Bursa,Hybrid,1-10,Backend Developer / Engineer,Mid,1-3 Yıl,"ChatGPT
PHP
SQL",Türk Lirası,2,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Hybrid,151-300,Data Scientist,Senior,9-12 Yıl,"Docker / containerd / Hyper-V / LXC / Podman
Python
SQL",Dolar,2,82.653 TL - 105.102 TL
Kadın,34 İstanbul,Hybrid,151-300,Data Analyst,Mid,1-3 Yıl,"NoSQL
Python",Türk Lirası,2,44.704 TL - 54.951 TL
Erkek,47 Mardin,Ofiste,21-50,IT Specialist,Mid,1-3 Yıl,"Adobe CC araçları
ChatGPT
Figma / XD ve diğer tasarım araçları
PHP
SQL",Türk Lirası,2,37.253 TL - 44.703 TL
Erkek,34 İstanbul,Remote,151-300,Frontend Developer / Engineer,Mid,1-3 Yıl,Javascript / Typescript ve bağlı framework'ler,Türk Lirası,1,44.704 TL - 54.951 TL
Kadın,34 İstanbul,Remote,10.000 ve üzeri,Software Architect,Staff,5-7 Yıl,"C# / .NET Framework
Cloud araçları ( AWS, Azure, GCP vs)
DevOps araçları
Java ve bağlı framework'ler
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Microsoft Office Araçları
SQL",Türk Lirası,2,105.103 TL - 127.552 TL
Erkek,34 İstanbul,Remote,51-150,Data Analyst,Yeni mezun,0-1 Yıl,"ChatGPT
Microsoft Office Araçları
Python
SQL
Salesforce",Türk Lirası,2,17.002 TL - 22.451 TL
Erkek,,Remote,51-150,UI/UX Designer,Senior,9-12 Yıl,"ChatGPT
Figma / XD ve diğer tasarım araçları",Sterlin,1,150.003 TL - 195.002 TL
Erkek,,Remote,10.000 ve üzeri,Q/A - Test Automation Engineer,Senior,5-7 Yıl,"C# / .NET Framework
DevOps araçları
Figma / XD ve diğer tasarım araçları
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
Python",Türk Lirası,4 veya üzeri,54.952 TL - 67.202 TL
Erkek,34 İstanbul,Remote,301-600,iOS Developer,Yeni mezun,0-1 Yıl,Swift,Türk Lirası,3,29.802 TL - 37.252 TL
Erkek,34 İstanbul,Remote,151-300,Fullstack Developer / Engineer,Mid,5-7 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler
Jira / Asana / Trello / Bitrix24 ve benzeri PM araçları
SQL",Türk Lirası,1,54.952 TL - 67.202 TL
Erkek,,Remote,11-20,Frontend Developer / Engineer,Senior,5-7 Yıl,Javascript / Typescript ve bağlı framework'ler,Sterlin,1,150.003 TL - 195.002 TL
Erkek,35 İzmir,Remote,601-1.000,Backend Developer / Engineer,Mid,3-5 Yıl,"C# / .NET Framework
Javascript / Typescript ve bağlı framework'ler",Türk Lirası,2,67.203 TL - 82.652 TL
