gender,city,work_type,company_size,position,level,experience,tech_stack,currency,raise_period,salary
Erkek,İzmir,Hibrit (Ofis + Remote),51 - 100 Kişi,Team / Tech Lead,Senior,12 - 14 Yıl,Php;Go;JavaScript | Html | Css,$ - Dolar,1,3.000 - 3.999
Erkek,Samsun,Remote,21 - 50 Kişi,Full Stack Developer,Middle,1 - 3 Yıl,.Net;React Native,₺ - Türk Lirası,2,45.000 - 45.999
Erkek,İstanbul,Hibrit (Ofis + Remote),250+,Back-end Developer,Middle,3 - 5 Yıl,Java,₺ - Türk Lirası,2,58.000 - 58.999
Erkek,Ankara,Remote,51 - 100 Kişi,Business Analyst,Senior,3 - 5 Yıl,.Net;JavaScript | Html | Css,₺ - Türk Lirası,2,60.000 - 60.999
Erkek,İzmir,Remote,250+,Full Stack Developer,Senior,5 - 7 Yıl,Java;React,₺ - Türk Lirası,2,130.000 - 134.999
Erkek,İstanbul,Remote,6 - 10 Kişi,Full Stack Developer,Middle,1 - 3 Yıl,Php;JavaScript | Html | Css;Vue;React Native,₺ - Türk Lirası,1,24.000 - 24.999
Erkek,Bursa,Hibrit (Ofis + Remote),21 - 50 Kişi,Mobile Application Developer (Android),Junior,1 - 3 Yıl,Kotlin,₺ - Türk Lirası,2,37.000 - 37.999
Erkek,Ankara,Ofis,1 - 5 Kişi,Front-end Developer,Middle,1 - 3 Yıl,Php;JavaScript | Html | Css;jQuery ,₺ - Türk Lirası,3,35.000 - 35.999
Erkek,* Hollanda,Remote,250+,Back-end Developer,Senior,7 - 10 Yıl,Java,€ - Euro,1,17.000 - 17.999
Erkek,İstanbul,Remote,250+,Team / Tech Lead,Senior,12 - 14 Yıl,C / C++,₺ - Türk Lirası,3,105.000 - 109.999
Erkek,İzmir,Hibrit (Ofis + Remote),6 - 10 Kişi,Product Manager,Senior,5 - 7 Yıl,Flutter;React Native,₺ - Türk Lirası,1,24.000 - 24.999
Erkek,* Kanada,Remote,11 - 20 Kişi,Full Stack Developer,Junior,1 - 3 Yıl,NodeJS;JavaScript | Html | Css;React;Angular,$ - Dolar,1,4.000 - 4.999
Kadın,İzmir,Remote,250+,QA / Manuel Test,Middle,3 - 5 Yıl,JavaScript | Html | Css,$ - Dolar,1,1.000 - 1.999
Erkek,* Almanya,Hibrit (Ofis + Remote),250+,Software Architect,Senior,10 - 12 Yıl,C / C++,€ - Euro,1,4.000 - 4.999
